Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Rayan Fofana,FRA,"FW,MF",19.0,Lens,FRA-Ligue 1,798,8.87,5,0,0.56,0.0,12,6,4,1,0,0,0.0,0.0,0.0,85,70,34.0,54.48,Zor
Rayan Philippe,FRA,"FW,MF",24.0,Hamburger SV,GER-Bundesliga,1285,14.28,5,0,0.35,0.0,16,31,13,3,2,0,0.0,0.0,0.0,90,40,34.0,33.04,Zor
Raúl,ESP,FW,24.0,Osasuna,ESP-La Liga,1041,11.57,7,1,0.61,0.09,23,9,13,7,2,1,0.0,0.0,0.0,95,40,38.0,31.65,Zor
Raúl Asencio,ESP,DF,22.0,Real Madrid,ESP-La Liga,1708,18.98,2,0,0.11,0.0,4,1,12,10,4,0,0.0,0.0,0.0,95,100,38.0,84.98,Orta
Raúl Jiménez,MEX,FW,34.0,Fulham,ENG-Premier League,2189,24.32,9,3,0.37,0.12,18,7,20,7,5,0,0.0,0.0,0.0,100,40,38.0,35.68,Zor
Reece James,ENG,"DF,MF",25.0,Chelsea,ENG-Premier League,1963,21.81,2,4,0.09,0.18,7,126,33,32,4,0,0.0,0.0,0.0,100,80,38.0,69.77,Zor
Reinildo Mandava,MOZ,DF,31.0,Sunderland,ENG-Premier League,1966,21.84,0,1,0.0,0.05,0,23,23,29,7,1,0.0,0.0,0.0,100,40,38.0,34.9,Zor
Remo Freuler,SUI,MF,33.0,Bologna,ITA-Serie A,2213,24.59,1,2,0.04,0.08,1,18,31,22,5,0,0.0,0.0,0.0,90,40,48.28,34.11,Zor
Renato Veiga,POR,DF,22.0,Villarreal,ESP-La Liga,2481,27.57,0,0,0.0,0.0,3,2,9,26,5,1,0.0,0.0,0.0,95,75,38.0,68.82,Zor
Rhaldney,BRA,MF,26.0,Göztepe,TUR-Super Lig,1083,12.03,1,1,0.08,0.08,5,23,23,14,3,1,0.0,0.0,0.0,90,40,34.0,32.25,Zor
Ricardo Esgaio,POR,DF,32.0,Karagümrük,TUR-Super Lig,2179,24.21,0,0,0.0,0.0,1,34,44,20,3,0,0.0,0.0,0.0,90,40,34.0,36.54,Zor
Ricardo Rodríguez,SUI,DF,32.0,Real Betis,ESP-La Liga,1547,17.19,0,1,0.0,0.06,0,15,14,8,0,0,0.0,0.0,0.0,95,40,38.0,33.43,Zor
Ricardo Velho,POR,GK,26.0,Gençlerbirliği,TUR-Super Lig,2070,23.0,0,0,0.0,0.0,0,0,1,0,0,0,74.0,6.0,31.0,90,40,34.0,36.12,Zor
Riccardo Calafiori,ITA,DF,23.0,Arsenal,ENG-Premier League,1699,18.88,1,2,0.05,0.11,8,21,19,13,5,0,0.0,0.0,0.0,100,95,38.0,80.66,Orta
Riccardo Orsolini,ITA,"MF,FW",28.0,Bologna,ITA-Serie A,2111,23.46,10,1,0.43,0.04,31,41,15,7,2,0,0.0,0.0,0.0,90,40,48.28,33.83,Zor
Richarlison,BRA,"FW,MF",28.0,Tottenham,ENG-Premier League,1964,21.82,11,4,0.5,0.18,26,18,16,7,5,0,0.0,0.0,0.0,100,80,38.0,69.78,Zor
Rick van Drongelen,NED,DF,26.0,Samsunspor,TUR-Super Lig,2823,31.37,2,1,0.06,0.03,3,10,37,30,5,0,0.0,0.0,0.0,90,40,34.0,39.07,Zor
Rico Henry,JAM,DF,28.0,Brentford,ENG-Premier League,1328,14.76,0,1,0.0,0.07,0,26,11,7,2,0,0.0,0.0,0.0,100,40,38.0,32.66,Zor
Ridle Baku,GER,DF,27.0,RB Leipzig,GER-Bundesliga,2504,27.82,2,3,0.07,0.11,6,59,40,31,4,0,0.0,0.0,0.0,90,90,34.0,85.09,Kolay
Riechedly Bazoer,CUW,"DF,MF",28.0,Konyaspor,TUR-Super Lig,924,10.27,0,0,0.0,0.0,1,4,9,11,7,1,0.0,0.0,0.0,90,40,34.0,31.62,Zor
Rigoberto Rivas,HON,"MF,FW",27.0,Kocaelispor,TUR-Super Lig,1176,13.07,1,1,0.08,0.08,2,38,10,12,4,0,0.0,0.0,0.0,90,40,34.0,32.61,Zor
Ritsu Doan,JPN,MF,27.0,Frankfurt,GER-Bundesliga,2364,26.27,5,5,0.19,0.19,15,111,23,17,5,0,0.0,0.0,0.0,90,75,34.0,69.88,Zor
Robert Andrich,GER,"DF,MF",30.0,Leverkusen,GER-Bundesliga,2546,28.29,2,0,0.07,0.0,3,13,30,33,6,1,0.0,0.0,0.0,90,85,34.0,80.72,Orta
Robert Lewandowski,POL,FW,36.0,Barcelona,ESP-La Liga,1664,18.49,14,2,0.76,0.11,29,0,3,3,2,0,0.0,0.0,0.0,95,100,38.0,84.6,Orta
Robert Sánchez,ESP,GK,27.0,Chelsea,ENG-Premier League,3039,33.77,0,1,0.0,0.03,0,0,0,1,3,1,97.0,9.0,49.0,100,80,38.0,77.33,Orta
Roberto Férnandez,ESP,FW,23.0,Espanyol,ESP-La Liga,2382,26.47,7,3,0.26,0.11,23,9,5,6,3,0,0.0,0.0,0.0,95,40,38.0,36.36,Zor
Roberto Gagliardini,ITA,MF,31.0,Hellas Verona,ITA-Serie A,2272,25.24,1,0,0.04,0.0,3,16,40,56,9,0,0.0,0.0,0.0,90,40,48.28,34.27,Zor
Roberto Navarro,ESP,MF,23.0,Athletic Club,ESP-La Liga,1307,14.52,6,1,0.41,0.07,10,74,10,7,1,0,0.0,0.0,0.0,95,75,38.0,61.1,Zor
Roberto Piccoli,ITA,FW,24.0,Fiorentina,ITA-Serie A,1672,18.58,4,1,0.22,0.05,15,4,1,4,1,0,0.0,0.0,0.0,90,40,48.28,32.62,Zor
Robin Fellhauer,GER,MF,27.0,Augsburg,GER-Bundesliga,2799,31.1,3,2,0.1,0.06,9,92,43,22,2,0,0.0,0.0,0.0,90,40,34.0,38.98,Zor
Robin Gosens,GER,"DF,MF",31.0,Fiorentina,ITA-Serie A,1881,20.9,3,1,0.14,0.05,7,41,18,23,2,0,0.0,0.0,0.0,90,40,48.28,33.19,Zor
Robin Hranáč,CZE,DF,25.0,Hoffenheim,GER-Bundesliga,2251,25.01,1,0,0.04,0.0,3,6,15,20,5,0,0.0,0.0,0.0,90,40,34.0,36.83,Zor
Robin Koch,GER,DF,29.0,Frankfurt,GER-Bundesliga,2833,31.48,3,1,0.1,0.03,5,2,27,47,3,1,0.0,0.0,0.0,90,75,34.0,73.33,Zor
Robin Le Normand,ESP,DF,28.0,Atlético Madrid,ESP-La Liga,1789,19.88,1,1,0.05,0.05,1,3,20,20,5,0,0.0,0.0,0.0,95,92,38.0,78.84,Orta
Robin Risser,FRA,GK,20.0,Lens,FRA-Ligue 1,2970,33.0,0,1,0.0,0.03,0,0,0,0,2,0,76.0,11.0,35.0,85,70,34.0,69.38,Zor
Robin Roefs,NED,GK,22.0,Sunderland,ENG-Premier League,3150,35.0,0,0,0.0,0.0,0,0,0,0,4,0,108.0,10.0,46.0,100,40,38.0,39.05,Zor
Robin Yalçın,GER,DF,31.0,Eyüpspor,TUR-Super Lig,1625,18.06,0,0,0.0,0.0,1,4,13,13,0,0,0.0,0.0,0.0,90,40,34.0,34.37,Zor
Robin Zentner,GER,GK,30.0,Mainz 05,GER-Bundesliga,876,9.73,0,0,0.0,0.0,0,0,0,0,2,1,31.0,0.0,14.0,90,40,34.0,31.43,Zor
Rocco Reitz,GER,MF,23.0,Gladbach,GER-Bundesliga,2627,29.19,0,4,0.0,0.14,14,86,42,49,8,1,0.0,0.0,0.0,90,40,34.0,38.3,Zor
Rodri,ESP,MF,29.0,Manchester City,ENG-Premier League,1511,16.79,1,0,0.06,0.0,3,5,25,12,3,0,0.0,0.0,0.0,100,100,38.0,83.26,Orta
Rodrigo Becão,BRA,DF,29.0,Kasımpaşa,TUR-Super Lig,1119,12.43,0,1,0.0,0.08,0,1,9,8,4,1,0.0,0.0,0.0,90,40,34.0,32.39,Zor
Rodrigo Bentancur,URU,MF,28.0,Tottenham,ENG-Premier League,1883,20.92,1,1,0.05,0.05,3,7,36,36,7,0,0.0,0.0,0.0,100,80,38.0,69.21,Zor
Rodrigo Gomes,POR,"MF,FW",22.0,Wolves,ENG-Premier League,960,10.67,3,0,0.28,0.0,6,24,18,11,0,0,0.0,0.0,0.0,100,40,38.0,31.37,Zor
Rodrigo Mendoza,ESP,MF,20.0,Elche,ESP-La Liga,1228,13.64,1,1,0.07,0.07,4,19,12,5,6,0,0.0,0.0,0.0,95,40,38.0,32.31,Zor
Rodrigo Muniz,BRA,FW,24.0,Fulham,ENG-Premier League,1000,11.11,1,1,0.09,0.09,5,2,3,2,2,0,0.0,0.0,0.0,100,40,38.0,31.51,Zor
Roland Sallai,HUN,"DF,MF",28.0,Galatasaray,TUR-Super Lig,2346,26.07,1,3,0.04,0.12,13,90,30,29,4,1,0.0,0.0,0.0,90,100,34.0,93.0,Kolay
Rolando Mandragora,ITA,MF,28.0,Fiorentina,ITA-Serie A,2421,26.9,7,3,0.26,0.11,18,69,24,15,7,0,0.0,0.0,0.0,90,40,48.28,34.69,Zor
Romain Del Castillo,FRA,"MF,FW",29.0,Brest,FRA-Ligue 1,2625,29.17,9,3,0.31,0.1,13,198,36,28,2,1,0.0,0.0,0.0,85,40,34.0,38.3,Zor
Romain Perraud,FRA,DF,27.0,Lille,FRA-Ligue 1,2241,24.9,3,4,0.12,0.16,12,127,31,23,4,1,0.0,0.0,0.0,85,70,34.0,64.38,Zor
Romano Floriani,ITA,MF,22.0,Cremonese,ITA-Serie A,1168,12.98,0,1,0.0,0.08,1,29,14,6,2,0,0.0,0.0,0.0,90,40,48.28,31.23,Zor
Romano Schmid,AUT,"MF,FW",25.0,Werder Bremen,GER-Bundesliga,2982,33.13,4,8,0.12,0.24,21,154,28,13,4,0,0.0,0.0,0.0,90,40,34.0,39.69,Zor
Ronald Araújo,URU,DF,26.0,Barcelona,ESP-La Liga,1071,11.9,3,0,0.25,0.0,5,6,15,10,2,0,0.0,0.0,0.0,95,100,38.0,79.39,Orta
Ross Barkley,ENG,MF,31.0,Aston Villa,ENG-Premier League,857,9.52,3,1,0.32,0.11,8,0,11,2,1,0,0.0,0.0,0.0,100,80,38.0,62.01,Zor
Ruan,BRA,MF,20.0,Alanyaspor,TUR-Super Lig,2359,26.21,1,1,0.04,0.04,17,36,29,28,5,0,0.0,0.0,0.0,90,40,34.0,37.25,Zor
Ruben Aguilar,FRA,MF,32.0,Lens,FRA-Ligue 1,1720,19.11,2,2,0.1,0.1,3,86,24,24,6,1,0.0,0.0,0.0,85,70,34.0,60.8,Zor
Ruben Kluivert,NED,DF,24.0,Lyon,FRA-Ligue 1,772,8.58,1,2,0.12,0.23,1,1,10,8,4,0,0.0,0.0,0.0,85,70,34.0,54.3,Zor
Ruben Loftus-Cheek,ENG,"MF,FW",29.0,Milan,ITA-Serie A,1133,12.59,3,1,0.24,0.08,6,10,8,5,2,0,0.0,0.0,0.0,90,80,48.28,62.26,Zor
Ruben Vargas,SUI,"MF,FW",26.0,Sevilla,ESP-La Liga,1594,17.71,3,6,0.17,0.34,8,90,15,7,2,0,0.0,0.0,0.0,95,40,38.0,33.59,Zor
Rubén García,ESP,"MF,FW",32.0,Osasuna,ESP-La Liga,2229,24.77,2,5,0.08,0.2,10,154,31,17,6,0,0.0,0.0,0.0,95,40,38.0,35.82,Zor
Rudy Matondo,FRA,MF,17.0,Paris FC,FRA-Ligue 1,1357,15.08,2,0,0.13,0.0,5,13,21,12,4,1,0.0,0.0,0.0,85,40,34.0,33.32,Zor
Ruslan Malinovskyi,UKR,MF,32.0,Genoa,ITA-Serie A,2235,24.83,6,3,0.24,0.12,15,68,19,16,10,0,0.0,0.0,0.0,90,40,48.28,34.17,Zor
Ryan Christie,SCO,MF,30.0,Bournemouth,ENG-Premier League,994,11.04,2,0,0.18,0.0,8,17,20,11,3,1,0.0,0.0,0.0,100,70,38.0,55.1,Zor
Ryan Gravenberch,NED,MF,23.0,Liverpool,ENG-Premier League,2992,33.24,5,3,0.15,0.09,13,8,35,44,5,0,0.0,0.0,0.0,100,95,38.0,91.43,Kolay
Ryan Sessegnon,ENG,"DF,MF",25.0,Fulham,ENG-Premier League,1823,20.26,3,1,0.15,0.05,4,55,29,23,0,0,0.0,0.0,0.0,100,40,38.0,34.4,Zor
Rémy Labeau Lascary,GLP,"MF,FW",22.0,Brest,FRA-Ligue 1,1200,13.33,5,1,0.38,0.08,16,12,11,4,2,0,0.0,0.0,0.0,85,40,34.0,32.7,Zor
Rômulo,BRA,FW,23.0,RB Leipzig,GER-Bundesliga,2188,24.31,9,4,0.37,0.16,27,0,19,11,3,0,0.0,0.0,0.0,90,90,34.0,82.3,Orta
Rúben Dias,POR,DF,28.0,Manchester City,ENG-Premier League,2141,23.79,2,0,0.08,0.0,4,9,6,23,3,0,0.0,0.0,0.0,100,100,38.0,88.78,Kolay
Rıdvan Yılmaz,TUR,DF,24.0,Beşiktaş,TUR-Super Lig,2088,23.2,0,0,0.0,0.0,1,73,30,23,4,0,0.0,0.0,0.0,90,100,34.0,90.47,Kolay
Sacha Boey,FRA,DF,24.0,Galatasaray,GER-Bundesliga,1024,11.38,1,0,0.09,0.0,2,15,16,9,1,0,0.0,0.0,0.0,90,100,34.0,80.04,Orta
Sadibou Sané,SEN,DF,21.0,Metz,FRA-Ligue 1,1940,21.56,2,1,0.09,0.05,2,4,34,39,5,2,0.0,0.0,0.0,85,40,34.0,35.61,Zor
Sael Kumbedi,FRA,"DF,MF",20.0,Wolfsburg,GER-Bundesliga,1869,20.77,0,5,0.0,0.24,0,42,33,15,3,0,0.0,0.0,0.0,90,40,34.0,35.33,Zor
Said El Mala,GER,"FW,MF",18.0,Köln,GER-Bundesliga,1956,21.73,13,4,0.6,0.18,30,39,14,8,4,0,0.0,0.0,0.0,90,40,34.0,35.67,Zor
Salis Abdul Samed,GHA,MF,25.0,Nice,FRA-Ligue 1,911,10.12,0,0,0.0,0.0,0,2,7,11,3,0,0.0,0.0,0.0,85,40,34.0,31.57,Zor
Salomón Rondón,VEN,FW,35.0,Oviedo,ESP-La Liga,1032,11.47,2,0,0.17,0.0,5,2,0,1,2,0,0.0,0.0,0.0,95,40,38.0,31.62,Zor
Sam Beukema,NED,DF,26.0,Napoli,ITA-Serie A,1681,18.68,2,0,0.11,0.0,4,6,17,14,2,0,0.0,0.0,0.0,90,90,48.28,73.45,Zor
Sam Johnstone,ENG,GK,32.0,Wolves,ENG-Premier League,1080,12.0,0,0,0.0,0.0,0,0,1,0,0,0,39.0,0.0,24.0,100,40,38.0,31.79,Zor
Sam Larsson,SWE,"MF,FW",32.0,Karagümrük,TUR-Super Lig,1555,17.28,3,3,0.17,0.17,12,19,14,23,1,0,0.0,0.0,0.0,90,40,34.0,34.1,Zor
Sambou Soumano,SEN,FW,24.0,Lorient,FRA-Ligue 1,941,10.46,4,2,0.38,0.19,10,0,4,4,2,0,0.0,0.0,0.0,85,40,34.0,31.69,Zor
Samet Akaydın,TUR,DF,31.0,Rizespor,TUR-Super Lig,2566,28.51,3,1,0.11,0.04,7,1,25,61,11,1,0.0,0.0,0.0,90,40,34.0,38.06,Zor
Samir Chergui,ALG,DF,26.0,Paris FC,FRA-Ligue 1,1154,12.82,1,0,0.08,0.0,4,6,12,13,1,0,0.0,0.0,0.0,85,40,34.0,32.52,Zor
Samir El Mourabet,MAR,MF,19.0,Strasbourg,FRA-Ligue 1,2128,23.64,1,2,0.04,0.08,1,18,37,27,4,0,0.0,0.0,0.0,85,40,34.0,36.34,Zor
Samson Baidoo,AUT,DF,21.0,Lens,FRA-Ligue 1,1827,20.3,2,1,0.1,0.05,4,0,23,25,2,0,0.0,0.0,0.0,85,70,34.0,61.54,Zor
Samu Costa,POR,MF,24.0,Mallorca,ESP-La Liga,2697,29.97,7,2,0.23,0.07,16,30,37,26,11,0,0.0,0.0,0.0,95,40,38.0,37.46,Zor
Samuel Amo-Ameyaw,ENG,"MF,DF",19.0,Strasbourg,FRA-Ligue 1,1047,11.63,2,2,0.17,0.17,5,50,12,3,2,0,0.0,0.0,0.0,85,40,34.0,32.1,Zor
Samuel Ballet,SUI,"MF,FW",24.0,Antalyaspor,TUR-Super Lig,1721,19.12,5,0,0.26,0.0,11,31,38,15,10,0,0.0,0.0,0.0,90,40,34.0,34.75,Zor
Samuel Chukwueze,NGA,MF,26.0,Fulham,ENG-Premier League,1105,12.28,3,4,0.24,0.33,7,46,4,6,0,0,0.0,0.0,0.0,100,40,38.0,31.88,Zor
Samuel Mbangula,BEL,"MF,FW",21.0,Werder Bremen,GER-Bundesliga,1171,13.01,3,2,0.23,0.15,8,23,10,3,0,0,0.0,0.0,0.0,90,40,34.0,32.59,Zor
Samuele Angori,ITA,MF,21.0,Pisa,ITA-Serie A,2599,28.88,0,2,0.0,0.07,3,165,25,23,2,0,0.0,0.0,0.0,90,40,48.28,35.18,Zor
Samuele Ricci,ITA,MF,23.0,Milan,ITA-Serie A,1312,14.58,1,4,0.07,0.27,6,28,9,9,3,0,0.0,0.0,0.0,90,80,48.28,63.25,Zor
Sander Berge,NOR,MF,27.0,Fulham,ENG-Premier League,2905,32.28,0,1,0.0,0.03,3,13,41,26,5,0,0.0,0.0,0.0,100,40,38.0,38.19,Zor
Sander van de Streek,NED,"FW,MF",32.0,Antalyaspor,TUR-Super Lig,2338,25.98,6,4,0.23,0.15,13,20,17,20,5,1,0.0,0.0,0.0,90,40,34.0,37.17,Zor
Sandro Tonali,ITA,MF,25.0,Newcastle,ENG-Premier League,2534,28.16,0,2,0.0,0.07,8,95,25,28,4,0,0.0,0.0,0.0,100,75,38.0,69.17,Zor
Santi Cazorla,ESP,MF,40.0,Oviedo,ESP-La Liga,940,10.44,0,1,0.0,0.1,1,71,10,4,2,1,0.0,0.0,0.0,95,40,38.0,31.3,Zor
Santi Comesaña,ESP,MF,28.0,Villarreal,ESP-La Liga,2407,26.74,3,6,0.11,0.22,7,12,25,31,5,1,0.0,0.0,0.0,95,75,38.0,68.33,Zor
Santiago Bueno,URU,DF,26.0,Wolves,ENG-Premier League,2553,28.37,3,1,0.11,0.04,7,6,30,27,4,0,0.0,0.0,0.0,100,40,38.0,36.96,Zor
Santiago Castro,ARG,FW,20.0,Bologna,ITA-Serie A,2359,26.21,7,2,0.27,0.08,20,4,8,1,3,0,0.0,0.0,0.0,90,40,48.28,34.51,Zor
Santiago Colombatto,ARG,MF,28.0,Oviedo,ESP-La Liga,2064,22.93,0,1,0.0,0.04,2,67,22,14,6,0,0.0,0.0,0.0,95,40,38.0,35.24,Zor
Santiago Hidalgo,ARG,"MF,FW",20.0,Toulouse,FRA-Ligue 1,1306,14.51,4,6,0.28,0.41,13,12,20,8,4,0,0.0,0.0,0.0,85,40,34.0,33.12,Zor
Santiago Mouriño,URU,DF,23.0,Villarreal,ESP-La Liga,2377,26.41,1,2,0.04,0.08,3,6,64,29,11,1,0.0,0.0,0.0,95,75,38.0,68.14,Zor
Santiago Pierotti,ARG,"MF,FW",24.0,Lecce,ITA-Serie A,2597,28.86,1,2,0.03,0.07,8,21,51,21,4,0,0.0,0.0,0.0,90,40,48.28,35.17,Zor
Sascha Britschgi,SUI,"MF,DF",18.0,Parma,ITA-Serie A,2095,23.28,0,2,0.0,0.09,3,48,18,8,7,1,0.0,0.0,0.0,90,40,48.28,33.79,Zor
Saud Abdulhamid,KSA,MF,26.0,Lens,FRA-Ligue 1,1352,15.02,2,4,0.13,0.27,3,47,22,9,4,1,0.0,0.0,0.0,85,70,34.0,58.28,Zor
Saúl Coco,DF,26.0,Torino,ITA-Serie A,3088,34.31,1,1,0.03,0.03,4,5,34,41,3,0,0.0,0.0,0.0,90,40,48.28,36.53,Zor
Saša Lukić,SRB,MF,28.0,Fulham,ENG-Premier League,1734,19.27,1,2,0.05,0.1,6,68,28,16,9,0,0.0,0.0,0.0,100,40,38.0,34.09,Zor
Scott McTominay,SCO,MF,28.0,Napoli,ITA-Serie A,2791,31.01,10,3,0.32,0.1,34,10,13,23,1,0,0.0,0.0,0.0,90,90,48.28,80.34,Orta
Sead Kolašinac,BIH,DF,32.0,Atalanta,ITA-Serie A,1212,13.47,0,0,0.0,0.0,0,3,18,11,3,0,0.0,0.0,0.0,90,75,48.28,58.78,Zor
Sean Longstaff,ENG,MF,27.0,Leeds United,ENG-Premier League,1011,11.23,2,2,0.18,0.18,4,54,24,12,2,0,0.0,0.0,0.0,100,40,38.0,31.55,Zor
Sebastian Nanasi,SWE,MF,23.0,Strasbourg,FRA-Ligue 1,1050,11.67,7,2,0.6,0.17,11,24,4,5,0,0,0.0,0.0,0.0,85,40,34.0,32.12,Zor
Sebastian Sebulonsen,NOR,"DF,MF",25.0,Köln,GER-Bundesliga,2498,27.76,0,0,0.0,0.0,5,67,26,17,5,0,0.0,0.0,0.0,90,40,34.0,37.8,Zor
Sebastian Szymański,POL,MF,26.0,Rennes,FRA-Ligue 1,1224,13.6,2,3,0.15,0.22,8,83,16,5,2,0,0.0,0.0,0.0,85,40,34.0,32.8,Zor
Sebastian Walukiewicz,POL,DF,25.0,Sassuolo,ITA-Serie A,2852,31.69,0,1,0.0,0.03,0,45,34,23,7,0,0.0,0.0,0.0,90,40,48.28,35.88,Zor
Sebastiano Esposito,ITA,"FW,MF",23.0,Cagliari,ITA-Serie A,2675,29.72,7,5,0.24,0.17,16,139,35,21,6,0,0.0,0.0,0.0,90,40,48.28,35.39,Zor
Sebastiano Luperto,ITA,DF,28.0,Cagliari,ITA-Serie A,3013,33.48,1,1,0.03,0.03,5,11,21,31,4,0,0.0,0.0,0.0,90,40,48.28,36.32,Zor
Sekou Koita,MLI,"MF,FW",25.0,Gençlerbirliği,TUR-Super Lig,1719,19.1,6,0,0.31,0.0,14,13,14,7,3,2,0.0,0.0,0.0,90,40,34.0,34.74,Zor
Sekou Mara,FRA,FW,23.0,Auxerre,FRA-Ligue 1,1226,13.62,3,2,0.22,0.15,12,0,7,3,0,0,0.0,0.0,0.0,85,40,34.0,32.81,Zor
Semih Güler,TUR,DF,30.0,Kayserispor,TUR-Super Lig,2148,23.87,0,0,0.0,0.0,2,5,33,32,3,0,0.0,0.0,0.0,90,40,34.0,36.42,Zor
Senne Lammens,BEL,GK,23.0,Manchester Utd,ENG-Premier League,2880,32.0,0,0,0.0,0.0,0,0,1,0,0,0,78.0,8.0,39.0,100,85,38.0,80.97,Orta
Senne Lynen,BEL,MF,26.0,Werder Bremen,GER-Bundesliga,2752,30.58,0,0,0.0,0.0,4,14,33,77,4,0,0.0,0.0,0.0,90,40,34.0,38.79,Zor
Senny Mayulu,FRA,"MF,FW",19.0,PSG,FRA-Ligue 1,1672,18.58,4,4,0.22,0.22,11,27,31,12,3,0,0.0,0.0,0.0,85,100,34.0,86.39,Kolay
Sepp van den Berg,NED,DF,23.0,Brentford,ENG-Premier League,2763,30.7,0,2,0.0,0.07,7,0,9,26,2,0,0.0,0.0,0.0,100,40,38.0,37.69,Zor
Serdar Dursun,TUR,FW,33.0,Kocaelispor,TUR-Super Lig,1531,17.01,6,2,0.35,0.12,11,2,4,0,3,0,0.0,0.0,0.0,90,40,34.0,34.0,Zor
Serdar Gürler,TUR,"MF,DF",33.0,Eyüpspor,TUR-Super Lig,1281,14.23,0,0,0.0,0.0,6,32,11,10,2,0,0.0,0.0,0.0,90,40,34.0,33.02,Zor
Serge Gnabry,GER,MF,30.0,Bayern Munich,GER-Bundesliga,1219,13.54,8,6,0.59,0.44,17,21,10,4,1,0,0.0,0.0,0.0,90,100,34.0,81.95,Orta
Sergi Altimira,ESP,MF,23.0,Real Betis,ESP-La Liga,1186,13.18,1,2,0.08,0.15,3,3,36,20,3,0,0.0,0.0,0.0,95,40,38.0,32.16,Zor
Sergi Cardona,ESP,DF,26.0,Villarreal,ESP-La Liga,1970,21.89,1,4,0.05,0.18,5,75,31,37,4,0,0.0,0.0,0.0,95,75,38.0,65.46,Zor
Sergi Darder,ESP,MF,31.0,Mallorca,ESP-La Liga,2680,29.78,1,5,0.03,0.17,13,165,13,23,3,0,0.0,0.0,0.0,95,40,38.0,37.4,Zor
Serginho,BRA,"MF,FW",30.0,Karagümrük,TUR-Super Lig,2180,24.22,8,1,0.33,0.04,15,26,27,6,2,0,0.0,0.0,0.0,90,40,34.0,36.55,Zor
Sergio Carreira,ESP,MF,24.0,Celta Vigo,ESP-La Liga,2694,29.93,2,1,0.07,0.03,7,32,18,27,2,0,0.0,0.0,0.0,95,40,38.0,37.45,Zor
Sergio Gómez,ESP,DF,24.0,Real Sociedad,ESP-La Liga,2701,30.01,0,6,0.0,0.2,0,153,53,32,5,1,0.0,0.0,0.0,95,75,38.0,70.27,Zor
Sergio Herrera,ESP,GK,32.0,Osasuna,ESP-La Liga,3284,36.49,0,0,0.0,0.0,0,0,0,0,3,1,113.0,7.0,47.0,95,40,38.0,39.52,Zor
Serhou Guirassy,GUI,FW,29.0,Dortmund,GER-Bundesliga,2337,25.97,17,1,0.65,0.04,40,4,1,0,3,0,0.0,0.0,0.0,90,95,34.0,88.27,Kolay
Shavy Babicka,GAB,"MF,FW",25.0,Karagümrük,TUR-Super Lig,856,9.51,1,1,0.11,0.11,4,7,7,5,0,0,0.0,0.0,0.0,90,40,34.0,31.36,Zor
Sheraldo Becker,SUR,"FW,MF",30.0,Mainz 05,ESP-La Liga,1104,12.27,3,3,0.24,0.24,15,42,1,6,2,0,0.0,0.0,0.0,95,40,38.0,31.87,Zor
Show,ANG,MF,26.0,Kocaelispor,TUR-Super Lig,2316,25.73,0,0,0.0,0.0,2,4,30,25,12,1,0.0,0.0,0.0,90,40,34.0,37.08,Zor
Shuto Machino,JPN,"FW,MF",25.0,Gladbach,GER-Bundesliga,1076,11.96,3,1,0.25,0.08,11,10,5,3,2,0,0.0,0.0,0.0,90,40,34.0,32.22,Zor
Sidiki Cherif,FRA,"FW,MF",18.0,Angers,FRA-Ligue 1,1804,20.04,6,0,0.3,0.0,20,16,6,7,3,0,0.0,0.0,0.0,85,40,34.0,35.07,Zor
Silvan Widmer,SUI,MF,32.0,Mainz 05,GER-Bundesliga,1810,20.11,2,1,0.1,0.05,4,37,27,18,5,0,0.0,0.0,0.0,90,40,34.0,35.1,Zor
Simon Adingra,CIV,"MF,FW",23.0,Monaco,ENG-Premier League,1508,16.76,4,2,0.24,0.12,8,56,17,8,2,0,0.0,0.0,0.0,100,70,38.0,58.26,Zor
Simon Ebonog,CMR,MF,20.0,Le Havre,FRA-Ligue 1,1759,19.54,1,0,0.05,0.0,4,16,21,24,8,0,0.0,0.0,0.0,85,40,34.0,34.9,Zor
Simon Sohm,SUI,MF,24.0,Bologna,ITA-Serie A,1425,15.83,0,1,0.0,0.06,1,7,12,9,3,0,0.0,0.0,0.0,90,40,48.28,31.93,Zor
Simone Canestrelli,ITA,DF,24.0,Pisa,ITA-Serie A,3201,35.57,1,0,0.03,0.0,3,12,25,33,4,0,0.0,0.0,0.0,90,40,48.28,36.84,Zor
Sinaly Diomande,CIV,DF,24.0,Auxerre,FRA-Ligue 1,2131,23.68,2,2,0.08,0.08,4,0,17,33,4,1,0.0,0.0,0.0,85,40,34.0,36.36,Zor
Sofiane Boufal,MAR,"MF,FW",31.0,Le Havre,FRA-Ligue 1,1019,11.32,1,4,0.09,0.35,4,59,17,3,2,0,0.0,0.0,0.0,85,40,34.0,32.0,Zor
Sofiane Diop,MAR,"MF,FW",25.0,Nice,FRA-Ligue 1,2130,23.67,8,2,0.34,0.08,17,37,9,18,5,0,0.0,0.0,0.0,85,40,34.0,36.35,Zor
